15.0000	0.0440	2
15.0000	0.0600	1
15.0000	0.0640	1
45.0000	0.0520	21
45.0000	0.0560	61
45.0000	0.0600	7
45.0000	0.0640	116
45.0000	0.0680	70
45.0000	0.0720	74
45.0000	0.0760	82
75.0000	0.0680	2
75.0000	0.0720	26
75.0000	0.0760	54
105.0000	0.0400	90
105.0000	0.0440	4
105.0000	0.0480	164
105.0000	0.0520	105
105.0000	0.0560	50
105.0000	0.0600	64
105.0000	0.0640	135
105.0000	0.0680	15
105.0000	0.0720	87
135.0000	0.0640	1
135.0000	0.0680	89
135.0000	0.0720	129
135.0000	0.0760	157
165.0000	0.0720	14
165.0000	0.0760	155
195.0000	0.0560	8
225.0000	0.0440	12
225.0000	0.0520	8
225.0000	0.0560	4
225.0000	0.0640	1
255.0000	0.0720	1
285.0000	0.0560	5
285.0000	0.0600	1
285.0000	0.0680	17
285.0000	0.0720	28
285.0000	0.0760	7
315.0000	0.0480	1
315.0000	0.0520	31
315.0000	0.0560	3
315.0000	0.0640	3
315.0000	0.0680	4
315.0000	0.0760	24
345.0000	0.0480	16
345.0000	0.0520	1
15.0000	0.0480	21
255.0000	0.0520	1
255.0000	0.0680	14
285.0000	0.0520	1
165.0000	0.0680	17
225.0000	0.0480	4
255.0000	0.0560	3
45.0000	0.0480	3
165.0000	0.0520	3
285.0000	0.0640	30
225.0000	0.0680	4
105.0000	0.0760	13
195.0000	0.0600	1
165.0000	0.0480	1
225.0000	0.0400	5
