2012.348.23.03.38 P 80.800 121.380 10.000 51.593  4.242 0.0673176  5.600  2.000
2013.045.13.13.53 P 67.630 142.510 11.000 45.136 21.287 0.0714820  6.700  2.000
2014.158.04.43.32 P 67.780 -162.290  4.000 65.331 24.521 0.0583574  5.800  2.000
2014.167.12.01.08 P 67.690 -162.250 10.000 65.375 24.609 0.0583148  5.700  2.000
2014.108.18.44.18 P 67.720 -162.670 23.400 65.213 24.634 0.0583933  5.600  2.000
2014.123.08.57.12 P 67.630 -162.210  0.900 65.409 24.667 0.0583117  5.700  2.000
2013.020.10.48.47 P 64.840 146.500 12.000 45.068 25.853 0.0715235  5.600  2.000
2014.155.11.58.58 P 59.030 -136.750 12.000 79.537 26.176 0.0488939  5.700  2.000
2014.198.11.49.33 P 60.300 -140.340 10.000 77.325 26.405 0.0504002  6.000  2.000
2014.206.10.54.49 P 58.260 -136.900  1.000 79.998 26.811 0.0486007  6.100  2.000
2013.005.08.58.19 P 55.390 -134.650 10.000 82.871 28.071 0.0465914  7.700  2.000
2013.014.14.55.51 P 55.160 -134.550  4.000 83.073 28.196 0.0464591  5.500  2.000
2014.268.17.51.17 P 61.940 -151.820 108.900 71.808 28.269 0.0538141  6.200  2.000
2015.175.22.32.21 P 61.660 -151.960 114.200 71.889 28.561 0.0537417  5.800  2.000
2012.302.03.04.08 P 52.790 -132.100 14.000 85.781 28.834 0.0445119  7.800  2.000
2014.114.03.10.10 P 49.640 -127.730 10.000 89.963 28.890 0.0417273  6.500  2.000
2009.321.15.30.45 P 52.130 -131.400  3.300 86.556 28.976 0.0439801  6.600  2.000
2015.114.13.56.15 P 51.620 -130.770  8.000 87.196 29.035 0.0435027  6.200  2.000
2012.304.02.49.02 P 52.370 -131.900  9.000 86.170 29.036 0.0442488  6.200  2.000
2012.302.18.54.20 P 52.670 -132.600  9.000 85.657 29.138 0.0446105  6.300  2.000
2013.246.20.19.06 P 51.230 -130.450  5.500 87.620 29.151 0.0432031  6.100  2.000
2012.317.20.42.14 P 57.790 -142.850  9.000 77.874 29.250 0.0500390  6.300  2.000
2012.313.02.01.50 P 49.230 -128.480 13.700 89.958 29.528 0.0417272  6.100  2.000
2014.130.14.16.09 P 60.000 -152.130 91.100 72.645 30.122 0.0533215  5.700  2.000
2015.210.02.35.59 P 59.890 -153.200 119.300 72.231 30.501 0.0535124  6.300  2.000
2009.089.07.13.07 P 56.550 -152.740 21.000 74.106 33.413 0.0525489  5.900  2.000
2009.136.18.22.25 P 56.440 -152.430  9.700 74.310 33.421 0.0524332  5.900  2.000
2010.120.23.11.43 P 60.470 -177.880 13.500 60.457 34.310 0.0615239  6.700  2.000
2015.149.07.00.09 P 56.660 -156.510 70.000 72.229 34.367 0.0536502  6.800  2.000
2013.072.03.12.52 P 60.230 163.400  5.000 51.188 34.841 0.0675920  5.800  2.000
2012.070.14.10.39 P 55.150 -157.570 10.000 72.394 36.066 0.0536904  5.500  2.000
2011.125.14.13.01 P 55.090 -160.540 39.000 70.888 36.913 0.0546235  5.700  2.000
2011.033.00.38.19 P 55.060 -160.480 54.700 70.932 36.926 0.0545442  5.900  2.000
2011.125.16.57.36 P 55.020 -160.690 36.000 70.839 37.019 0.0546664  5.800  2.000
2010.106.01.45.15 P 54.490 -161.040 34.300 70.879 37.619 0.0546439  5.700  2.000
2012.176.03.15.01 P 57.600 163.200 10.000 50.819 38.205 0.0677997  6.100  2.000
2011.310.08.08.13 P 54.120 -162.550 23.200 70.225 38.364 0.0551136  5.700  2.000
2010.123.14.04.19 P 52.610 -163.690  7.800 70.207 40.128 0.0551571  5.500  2.000
2011.051.21.43.24 P 55.920 162.120 33.000 50.092 40.321 0.0682232  6.200  2.000
2012.307.01.52.03 P 55.890 162.800  9.100 50.472 40.395 0.0680373  5.600  2.000
2009.288.00.13.33 P 52.850 -166.750 20.000 68.396 40.649 0.0563106  5.600  2.000
2013.144.05.44.49 P 54.890 153.220 598.100 44.926 40.763 0.0686288  8.400  2.000
2009.286.05.37.23 P 52.750 -167.000 24.000 68.290 40.809 0.0563719  6.500  2.000
2011.138.17.42.35 P 55.520 163.850 14.200 51.045 40.915 0.0676594  5.500  2.000
2009.286.20.21.53 P 52.600 -167.120 14.000 68.276 40.988 0.0564034  6.400  2.000
2012.223.18.37.43 P 52.630 -167.420 13.000 68.095 41.028 0.0565227  6.200  2.000
2010.199.05.56.47 P 52.880 -169.710 25.000 66.701 41.290 0.0574119  6.700  2.000
2014.184.02.56.38 P 55.260 166.900  7.600 52.779 41.292 0.0665470  5.700  2.000
2014.184.12.05.22 P 55.260 166.880  6.000 52.768 41.292 0.0665583  5.800  2.000
2015.006.22.09.13 P 55.210 163.240 10.000 50.683 41.294 0.0678931  5.600  2.000
2010.199.19.48.07 P 52.770 -169.560 25.700 66.824 41.371 0.0573275  6.000  2.000
2010.209.11.31.46 P 52.670 -169.410 10.000 66.943 41.440 0.0572821  5.600  2.000
2010.200.08.20.30 P 52.650 -169.330 10.000 66.996 41.443 0.0572462  5.600  2.000
2015.034.07.16.53 P 52.220 -168.600 14.000 67.562 41.718 0.0568795  5.500  2.000
2015.208.04.49.46 P 52.380 -169.450 29.000 67.017 41.747 0.0571892  6.900  2.000
2013.316.07.03.51 P 54.690 162.300 43.000 50.114 41.933 0.0681715  6.400  2.000
2015.253.10.26.44 P 52.100 -169.540 20.000 67.059 42.054 0.0571831  6.000  2.000
2010.075.09.44.17 P 52.130 142.210 24.400 37.862 42.165 0.0758583  5.800  2.000
2012.150.02.40.53 P 54.370 168.930 10.300 53.975 42.368 0.0657412  5.600  2.000
2011.245.10.55.53 P 52.170 -171.710 32.000 65.771 42.453 0.0580000  6.900  2.000
2011.298.03.24.49 P 52.160 -171.830 38.000 65.703 42.488 0.0580237  5.700  2.000
2009.026.19.11.47 P 51.960 -171.160 25.300 66.159 42.555 0.0577694  5.900  2.000
2011.179.06.48.32 P 52.060 -171.760 30.000 65.775 42.578 0.0580015  5.900  2.000
2011.175.03.09.39 P 52.070 -171.840 52.000 65.725 42.584 0.0579707  7.300  2.000
2011.178.23.27.33 P 52.000 -171.760 29.000 65.794 42.641 0.0579924  5.800  2.000
2009.344.02.30.52 P 53.420 152.760 656.200 44.383 42.749 0.0685383  6.300  2.000
2013.274.03.38.21 P 53.200 152.790 573.000 44.362 43.064 0.0691357  6.700  2.000
2015.313.16.03.46 P 51.640 -173.070 15.000 65.129 43.290 0.0584687  6.500  2.000
2010.227.02.10.38 P 53.560 160.120 40.300 48.762 43.314 0.0690579  5.500  2.000
2015.312.11.33.14 P 51.530 -172.980 20.000 65.216 43.388 0.0584001  5.700  2.000

